,User,Week,freq_week
584,user16268,2023-06,12
585,user16268,2023-07,16
586,user16268,2023-08,7
587,user16268,2023-09,59
588,user16268,2023-10,1
589,user16270,2023-03,7
590,user16270,2023-05,27
591,user16270,2023-06,13
592,user16270,2023-09,33
593,user16272,2023-05,27
594,user16272,2023-06,27
595,user16272,2023-07,40
596,user16272,2023-08,25
597,user16272,2023-09,27
598,user16272,2023-10,3
599,user16282,2023-05,34
600,user16282,2023-06,15
601,user16282,2023-07,38
602,user16282,2023-08,39
603,user16282,2023-09,23
604,user16283,2023-02,15
605,user16283,2023-03,11
606,user16283,2023-05,37
607,user16283,2023-06,21
608,user16283,2023-07,8
609,user16283,2023-08,7
610,user16283,2023-09,38
611,user16287,2023-02,7
612,user16287,2023-03,33
613,user16287,2023-05,58
614,user16287,2023-07,25
615,user16287,2023-08,3
616,user16287,2023-09,10
617,user16290,2023-03,23
618,user16290,2023-05,27
619,user16290,2023-09,33
620,user16293,2023-05,17
621,user16293,2023-07,6
622,user16293,2023-08,3
623,user16293,2023-09,3
624,user16305,2023-02,3
625,user16305,2023-03,37
626,user16305,2023-05,12
627,user16305,2023-06,9
628,user16305,2023-08,3
629,user16305,2023-09,1
630,user16314,2023-02,20
631,user16314,2023-03,279
632,user16314,2023-05,96
633,user16314,2023-06,21
634,user16314,2023-07,49
635,user16314,2023-08,90
636,user16314,2023-09,47
637,user16318,2023-02,2
638,user16318,2023-03,1
639,user16318,2023-05,3
640,user16318,2023-07,4
641,user16318,2023-08,3
642,user16318,2023-09,14
643,user16325,2023-05,18
644,user16325,2023-06,3
645,user16325,2023-07,8
646,user16326,2023-02,56
647,user16326,2023-03,96
648,user16326,2023-05,42
649,user16326,2023-06,97
650,user16326,2023-07,37
651,user16326,2023-08,16
652,user16326,2023-09,129
653,user16327,2023-02,11
654,user16327,2023-03,15
655,user16327,2023-05,10
656,user16327,2023-06,5
657,user16327,2023-07,25
658,user16327,2023-08,29
659,user16327,2023-09,52
660,user16329,2023-02,1
661,user16329,2023-03,3
662,user16329,2023-05,5
663,user16329,2023-06,3
664,user16329,2023-07,6
665,user16329,2023-08,2
666,user16329,2023-09,8
667,user16332,2023-02,2
668,user16332,2023-03,4
669,user16332,2023-05,7
670,user16332,2023-06,3
671,user16332,2023-07,6
672,user16332,2023-09,7
673,user16335,2023-02,14
674,user16335,2023-05,39
675,user16335,2023-07,67
676,user16335,2023-08,44
677,user16335,2023-09,102
678,user16335,2023-10,4
679,user16336,2023-02,38
680,user16336,2023-03,12
681,user16336,2023-05,5
682,user16336,2023-06,4
683,user16336,2023-07,3
684,user16336,2023-08,6
685,user16336,2023-09,6
686,user16345,2023-02,2
687,user16345,2023-03,12
688,user16345,2023-05,10
689,user16345,2023-06,5
690,user16345,2023-07,28
691,user16345,2023-08,8
692,user16345,2023-09,2
693,user16350,2022-44,5
694,user16350,2023-05,36
695,user16350,2023-06,6
696,user16350,2023-07,15
697,user16350,2023-08,9
698,user16350,2023-09,10
699,user16354,2022-44,1
700,user16354,2023-02,8
701,user16354,2023-05,11
702,user16354,2023-06,11
703,user16354,2023-07,9
704,user16354,2023-09,37
705,user16368,2023-03,3
706,user16368,2023-05,6
707,user16368,2023-06,2
708,user16368,2023-07,9
709,user16368,2023-09,8
710,user16374,2023-02,15
711,user16374,2023-03,10
712,user16374,2023-05,32
713,user16374,2023-06,13
714,user16374,2023-07,4
715,user16374,2023-08,27
716,user16374,2023-09,16
717,user16374,2023-10,22
718,user16390,2023-03,2
719,user16390,2023-05,3
720,user16390,2023-06,2
721,user16390,2023-07,10
722,user16390,2023-08,3
723,user16390,2023-09,3
724,user16391,2023-02,39
725,user16391,2023-03,34
726,user16391,2023-05,14
727,user16391,2023-07,10
728,user16391,2023-08,2
729,user16391,2023-09,17
730,user16393,2023-02,29
731,user16393,2023-03,7
732,user16393,2023-05,46
733,user16393,2023-06,10
734,user16393,2023-07,1
735,user16393,2023-09,6
736,user16412,2023-05,3
737,user16412,2023-07,5
738,user16412,2023-08,7
739,user16412,2023-09,11
740,user16415,2022-44,20
741,user16415,2023-05,3
742,user16415,2023-07,1
743,user16415,2023-08,1
744,user16415,2023-09,1
745,user16416,2023-05,23
746,user16416,2023-06,54
747,user16416,2023-07,81
748,user16416,2023-08,34
749,user16416,2023-09,122
750,user16419,2023-03,22
751,user16419,2023-05,15
752,user16419,2023-06,1
753,user16419,2023-07,12
754,user16419,2023-08,5
755,user16419,2023-09,7
756,user16419,2023-10,6
757,user16421,2023-05,3
758,user16421,2023-07,12
759,user16421,2023-08,11
760,user16421,2023-09,3
761,user16424,2023-02,18
762,user16424,2023-03,100
763,user16424,2023-05,106
764,user16424,2023-06,28
765,user16424,2023-07,41
766,user16424,2023-08,20
767,user16424,2023-09,22
768,user16425,2023-05,7
769,user16425,2023-06,27
770,user16425,2023-07,44
771,user16425,2023-09,51
772,user16436,2023-03,1
773,user16436,2023-05,1
774,user16436,2023-09,24
775,user16442,2023-02,1
776,user16442,2023-05,4
777,user16442,2023-06,3
778,user16442,2023-07,13
779,user16442,2023-08,4
780,user16442,2023-09,2
781,user16448,2022-44,1
782,user16448,2023-02,21
783,user16448,2023-03,5
784,user16448,2023-05,8
785,user16448,2023-06,14
786,user16448,2023-07,24
787,user16448,2023-08,29
788,user16448,2023-09,27
789,user16448,2023-10,37
790,user16450,2023-02,1
791,user16450,2023-03,2
792,user16450,2023-05,6
793,user16450,2023-06,5
794,user16450,2023-07,6
795,user16450,2023-08,8
796,user16460,2023-02,2
797,user16460,2023-03,10
798,user16460,2023-05,1
799,user16460,2023-06,2
800,user16460,2023-07,2
801,user16460,2023-08,6
802,user16460,2023-09,4
803,user16462,2023-02,1
804,user16462,2023-03,1
805,user16462,2023-05,4
806,user16462,2023-06,1
807,user16462,2023-07,11
808,user16462,2023-08,2
809,user16462,2023-09,3
810,user16467,2023-03,3
811,user16467,2023-05,3
812,user16467,2023-06,1
813,user16467,2023-07,14
814,user16467,2023-09,2
815,user16473,2023-02,9
816,user16473,2023-03,17
817,user16473,2023-05,26
818,user16473,2023-06,7
819,user16473,2023-07,5
820,user16473,2023-08,19
821,user16473,2023-09,14
822,user16476,2023-02,4
823,user16476,2023-03,3
824,user16476,2023-05,15
825,user16476,2023-06,19
826,user16476,2023-07,13
827,user16476,2023-08,14
828,user16476,2023-09,27
829,user16478,2023-03,3
830,user16478,2023-05,7
831,user16478,2023-06,3
832,user16478,2023-07,1
833,user16478,2023-08,6
834,user16478,2023-09,9
835,user16479,2023-02,3
836,user16479,2023-03,3
837,user16479,2023-05,17
838,user16479,2023-06,26
839,user16479,2023-07,4
840,user16479,2023-08,6
841,user16479,2023-09,8
842,user16484,2023-02,28
843,user16484,2023-03,42
844,user16484,2023-05,42
845,user16484,2023-06,37
846,user16484,2023-07,59
847,user16484,2023-08,47
848,user16484,2023-09,94
849,user16488,2023-05,101
850,user16488,2023-06,62
851,user16488,2023-07,153
852,user16488,2023-08,4
853,user16488,2023-09,13
854,user16491,2023-02,7
855,user16491,2023-03,5
856,user16491,2023-05,27
857,user16491,2023-06,4
858,user16491,2023-07,6
859,user16491,2023-08,12
860,user16491,2023-09,39
861,user16491,2023-10,7
862,user16492,2023-02,24
863,user16492,2023-03,15
864,user16492,2023-05,17
865,user16492,2023-06,8
866,user16492,2023-07,3
867,user16492,2023-08,5
868,user16492,2023-09,25
869,user16499,2023-02,19
870,user16499,2023-05,1
871,user16499,2023-07,3
872,user16504,2023-03,2
873,user16504,2023-05,39
874,user16504,2023-06,2
875,user16504,2023-07,27
876,user16504,2023-08,28
877,user16513,2023-02,7
878,user16513,2023-03,5
879,user16513,2023-05,35
880,user16513,2023-06,31
881,user16513,2023-07,44
882,user16513,2023-08,86
883,user16513,2023-09,101
884,user16515,2022-44,30
885,user16515,2023-02,5
886,user16515,2023-03,64
887,user16515,2023-05,10
888,user16515,2023-07,9
889,user16515,2023-09,2
890,user16521,2023-02,12
891,user16521,2023-05,10
892,user16521,2023-09,3
893,user16532,2023-03,11
894,user16532,2023-05,11
895,user16532,2023-07,2
896,user16532,2023-08,1
897,user16535,2023-02,18
898,user16535,2023-03,8
899,user16535,2023-05,22
900,user16535,2023-06,4
901,user16535,2023-07,13
902,user16535,2023-08,6
903,user16535,2023-09,2
904,user16545,2023-02,14
905,user16545,2023-03,1
906,user16545,2023-05,6
907,user16545,2023-06,20
908,user16545,2023-07,14
909,user16545,2023-08,32
910,user16545,2023-09,16
911,user16547,2023-05,29
912,user16549,2023-02,5
913,user16549,2023-05,47
914,user16549,2023-06,1
915,user16549,2023-07,2
916,user16549,2023-09,29
917,user16554,2023-02,6
918,user16554,2023-03,4
919,user16554,2023-05,4
920,user16554,2023-07,3
921,user16554,2023-09,8
922,user16555,2023-02,1
923,user16555,2023-05,12
924,user16555,2023-07,6
925,user16555,2023-08,1
926,user16555,2023-09,4
927,user16561,2023-02,4
928,user16561,2023-03,18
929,user16561,2023-05,7
